IntelPooling,RoME-BLM,RoME,RoME-SU,AC,Standard,Neural-Linear,NNR-Linear
37.08386888199147,32.4868388850453,19.751951764052354,26.318951762038918,118.49669868017277,56.75246408820011,46.88298653321094,23.878268751684164
38.23428785579687,21.98854431645531,22.462330114130854,32.731929035715275,125.19851471144263,60.32345451331459,49.242579877567636,26.11744574314268
40.285801520430006,29.115801889117776,30.238469610757793,34.90624930040647,130.14865367204703,65.77656233401764,47.9376239415559,18.079930530304917
31.505802785648058,21.69030121408644,25.534425588760083,27.961825430787492,125.58175606923481,67.38937094314106,42.12306477250694,19.045691565912794
43.59983627660486,21.96285721517519,21.654933890712773,32.012845796753986,113.4949436993873,61.26966989853631,45.24465376368647,24.48265655351117
31.548266898343822,28.407092379453264,21.035123951922436,32.49935868776959,121.86406556693422,65.19470161325,40.047625528147684,27.30204752887758
41.66198704086188,29.18241034700836,28.17782904868578,19.005633911575476,132.80153781234034,65.42125481310774,54.811849763334365,31.364992191831274
37.29912604836564,27.833036645294897,29.118070764503532,24.215263434323248,122.9946591604071,61.71868780846129,43.24402076630028,23.28242756150259
32.92518843314855,17.132142741422673,25.27944997516752,21.125752553671052,123.07431444828549,59.98449704173201,38.709853071457076,21.11910078427826
49.786917523227714,38.614388052343536,27.50030971489866,33.025540217277374,125.33710928541016,67.44784662682984,51.040830544952456,23.673481953893784
44.67998256414321,37.364294239841925,23.250814235039805,24.83146182488902,116.99418188323044,66.52114637191629,49.83129503771555,33.97959864627246
51.661276982402825,35.838252571193514,30.5691663171695,37.73290492387119,135.21000154148234,63.9362651893304,46.15796185410409,20.75020778023311
34.69002062974817,25.745220563797552,34.413149178128315,30.15691970166741,129.10840418596433,61.103991424735625,45.78993357647259,26.266199418910944
36.80796423727005,30.475997150118264,29.78022887367944,29.94550258127518,124.46692186830526,66.39372117595659,51.07449509645003,26.27549337235485
30.72762105809045,15.954824649696826,18.634153538841012,22.11109198266904,119.03551821486198,57.884759845672285,43.933128040645194,24.637266841974366
37.2829692559429,36.70948772114108,34.01200903111379,45.007938645244145,128.44968325833506,59.283184846877184,63.93450306685644,36.575671653797784
31.59559504802034,28.049523094656866,28.644922450278482,29.087284950827836,136.7482410228788,65.34341635965643,47.87316401279254,22.0729794662598
45.30418131270768,22.971999357444584,30.22565802835869,36.22881999453,125.62948953307438,66.34973387472066,43.702503178322445,26.838861856740767
37.49575950184568,26.06210888277026,27.159583012366973,21.298779237125313,118.10989828599544,63.98929013473626,41.87109194182206,20.25336956274916
40.47721851187998,27.06695022004701,30.423606116516815,34.19399015887563,121.97646872473877,63.04978266669715,46.58524789683512,25.02460551000732
40.01873912531104,23.971627061378083,27.938805357837992,35.76554496806639,125.64167879995283,65.70384933842496,50.62262544920175,23.710717147902532
50.27114281304492,34.37146690968624,35.671374071007605,40.5050469164247,130.1043398085928,67.5001044897759,48.68654808241456,36.19154546580421
30.367243890460486,20.49555438397799,20.134932435098058,24.992564207156708,132.29071799844795,58.80447454232821,47.23783219061369,25.331142136592856
39.086816534785946,27.33444314420296,24.685772060138213,34.595002113312326,130.08991028492076,69.73149048253147,51.80897558671974,30.534721772257964
39.40436606873962,27.40700706582901,35.4557562306272,34.61286698842876,126.87568887358685,60.450080512993864,58.50367904861117,22.930138717659617
38.8278464388382,26.04878441589594,22.283707139651316,30.937728101121174,132.43770388174954,59.440026365824515,40.680421240016244,29.515836570644446
41.357002728315656,38.99489577159053,28.161870035120188,31.77159020688546,125.85608500986883,66.24243722531826,44.80245555896154,29.764279910076315
39.762578913772906,25.499734636322,30.30311131187839,34.277548492922065,127.84875658514923,64.65257737508925,51.71626942258772,22.619298719368235
39.62842411562354,35.67235926825048,24.04683213519192,33.91860666383688,133.4818653189066,65.4031667921036,49.34362053183503,26.14196780571358
32.8348140584163,24.83679657078601,27.719030282854007,34.18538642765779,127.87087406164648,62.1547966557471,48.68959011953066,29.15947146248112
45.57065748789387,23.70425105351026,24.313504679152892,30.480689745124888,136.39051428057513,72.48836352153059,48.806934762239834,26.48334419349094
35.33791970303284,24.905940546337206,20.310359140077782,28.42157782641485,126.73368378496565,59.38931865832348,49.261636692430564,27.57545226663552
39.11005859129295,27.641572118705916,27.265403993260527,27.467985538308668,120.9134206653782,64.46389532329455,42.82457816214417,31.781456334922908
44.08343942656968,32.5965645774848,27.500991864738015,35.9957568024255,130.32957566081456,65.2615376155094,55.36101753806039,26.671639228196337
36.17133813462379,23.28735967916078,23.61724723458272,28.50699763073016,128.51153137654507,59.91540383174926,38.4485804531942,24.599911803350192
41.155800240200264,40.55460804292825,32.63530569487256,30.215929432871512,144.43352113906784,70.36348361657457,51.23476245415671,28.030438368832858
36.89807070462122,28.186076903221522,24.888240343376417,27.586676039376663,125.1123096704282,65.83833317043045,49.055585596570474,30.83935367879991
34.7395158596375,33.83221149568373,29.01858464253472,39.37018822559187,131.63725305172227,53.377749261471365,42.936003895352265,33.2846770216342
43.781556600823315,30.09139034063903,30.520101930123914,36.9931640010445,132.8029996761633,66.6976259291538,58.425501479498095,36.49774373428998
35.97365544944207,22.36742079762312,28.991561987908938,29.937122403736904,124.35047496655338,62.350544631720204,56.922048158601115,25.599364003171406
46.06871550184278,40.736936763918266,26.53424059256509,37.30259211344396,126.25125602426179,61.03869363927572,51.7692921811593,34.61653466526583
39.528402808653254,35.77502061712148,36.65981271122784,33.13533693588026,127.93197521782002,70.4302793027258,51.984033820138144,34.654585692356584
41.11950806631203,23.68223901753757,17.708823557062644,32.308460672195885,125.40920873785106,60.31387470665388,40.007074439589196,26.116312854025526
39.25724923399219,27.02807310684102,30.358857129834764,34.39120750764589,124.44110050083844,63.144606013618834,47.67473664392985,23.931838487195364
38.14863064539995,22.458349754402054,30.41549347703088,27.525359306798013,126.39631795681694,66.52728008453344,46.25875529602944,31.840219350410077
34.76249027986977,24.995578757280207,27.71003591732703,28.767503884566615,128.6685679373229,58.51296195736108,50.32868414486925,25.131916114710993
37.22395350315597,31.758391619112395,29.626204979789623,30.59148622379975,121.04925140994706,62.832405065673484,49.34341288563095,27.937284089318446
35.35497023710346,24.23335138398446,28.499418445942233,30.175099720535897,126.691033189368,57.23648781902598,53.31141094223545,30.601913566634455
43.347780514406395,30.705123690419008,30.940295089151114,35.92489107927145,130.76594714049082,69.52527628358438,46.41848813316617,25.14431848810715
46.04374987013415,22.819189013467344,24.198540702008113,31.555634375903963,127.96465953943152,63.971324257357765,45.50009816631648,27.337669047585827
