IntelPooling,RoME-BLM,RoME,RoME-SU,AC,Standard,Neural-Linear,NNR-Linear
55.57699013598782,34.77038168970531,29.554635691347542,48.90742446117217,138.51341312967193,84.16485494996162,69.83017393811981,50.46571737757425
48.923903223048775,30.248853282275416,25.57768865843589,51.99382516898057,140.55626972677206,69.4506846348885,74.79174254688981,50.16076818421354
56.72279620301127,35.83246187605276,32.77653404886472,56.30542545123672,141.8019145466506,75.97291885649655,67.33675518699371,46.09584004488466
46.74588168878416,28.305546979690007,42.095341593850975,51.03308076307492,149.3833487268679,86.95221457950512,69.62513669464498,42.9214910951725
50.5386862218207,33.62072155709934,40.04856599854115,44.92270523681999,142.73160557610885,79.73012898589222,65.13630219380556,46.87667223651461
61.72910519617675,31.742057868071612,40.89134433613261,49.47471055323964,145.02829407355495,83.88428077562773,75.22699283944684,46.82226837788878
50.860803704533154,34.93036237919207,44.52708886287149,49.067023103001674,139.6440669596332,86.08316960882061,76.24849059284996,54.58844187838723
50.807391556948346,46.7377679506546,44.8816094764148,46.03292117755694,139.01961733200102,81.79220583154603,67.73124478056297,41.25570491356383
56.341954821254944,30.306525628998397,38.87436615728215,43.23459738997561,136.5213944617299,86.7017973725186,65.8500401441101,42.15640444998696
61.939008377342205,44.12134876224278,26.791374027497138,53.27751675643762,140.82918553720236,87.3128947109519,67.68514159411404,54.800395520740224
61.51722144662152,38.78663487911919,42.12698396911681,53.520621363477474,142.3807550462385,84.22061175400307,72.68833719144232,52.68935213808642
58.277170427927985,31.407060912013588,43.12325670375042,52.26956127706134,142.99526303619712,82.37188994210517,69.3715376944416,49.020455558795135
51.28272012630735,34.8199671256736,39.715294078892114,46.60445795767381,146.05212943635345,82.78986330989636,72.20947443540099,50.19061487954993
51.874541893989786,32.86603133081372,30.1474296897221,54.08233980297271,133.50492212989923,81.06739097858593,69.53253627888655,61.1407898195035
51.032910847502,37.927221300002756,38.29786654775209,42.516634466186176,142.5985003227717,76.72682097420486,70.80735100600072,51.06156810780733
61.52274602627427,41.95494951513557,40.33444266165938,59.34786850559123,145.3847611480736,87.71062777787274,79.16027488904966,46.61060033425147
53.562890373297435,37.82811379669557,30.844659406718876,50.06413211331002,143.12398650877128,83.37537822605418,73.64853352387689,46.92033692459169
56.87184098492797,45.48217872584565,33.48895636673436,52.684469355473865,145.0375778947317,88.88705538061177,68.91308554274872,51.42541818782949
52.29656934801616,34.519774937911016,30.222066975823985,38.23427799498679,140.53397684843685,84.51519155581951,66.56805803250715,42.66813854708652
64.00469870990736,35.332459550271125,35.36153503352809,64.37887437508935,137.24447176862375,86.00582579620526,76.55339317468813,42.92739757450309
54.982109481814675,34.67387356369248,44.036781085994605,56.96635940364222,143.49806714837231,89.72235599067365,72.96175097473295,50.9748782312718
68.3982646236629,39.44664732897641,34.871035978731136,57.57908244078684,145.74255307838214,82.57344351443786,72.30617546915451,51.4703675957304
50.323960207269835,32.799705716394676,34.47553842202735,43.212094073604575,141.2327832909312,77.67411773497861,72.97840251648103,44.13169447956698
43.94078336125034,38.95754725764193,49.74193214617452,57.876141057773495,146.71533995860145,85.22226894878358,78.03036553137963,51.53643076618576
58.87068883167,48.439603680344185,56.17236184191452,56.72164945279508,140.40411312870046,85.46164325404682,73.985339131477,54.58932620556646
54.47501481133218,33.772471338470226,28.186504895091502,44.65810532952675,140.18185633067904,82.8791170329752,67.77883795085498,54.02511856186874
54.64935176240895,46.665559849907645,38.21316684369182,52.13479337140873,144.47793832415002,90.30525900000288,73.81601283746124,67.2354601926272
72.30191437540874,35.210980852821436,39.77387716680843,63.656782523493156,148.00504812085748,90.61212978443864,77.5421227231313,53.645540890325684
56.11987608942414,36.39749347239675,30.45058178954735,54.30684636764721,144.07662085219246,78.36628906573725,72.51963951322922,48.5052921002449
61.64017786621961,33.597862579819044,29.693276416611948,52.634368092778516,143.33609860960945,90.7715028138095,64.42923579226172,57.561877150307275
64.17544601936844,39.94245381978072,35.50092708353608,49.8484659323538,146.901971598736,83.17705275183084,78.12987223228497,48.20128394684471
63.5341664063303,36.74495815004232,38.85058672864136,56.791221476361365,139.10933816192554,82.67129523692475,71.91967609450697,51.10544832091209
58.02252093527302,41.71011108385999,31.401136968323485,59.67583139600413,148.1160715570553,81.09279660746793,71.58891770557366,57.953888394293955
55.95061539691113,43.099660038293216,35.34609810804594,54.7883291129658,149.5482463150452,83.67710200503562,74.23557501737598,48.101625176049026
63.71022784618877,33.47808535107235,39.58100059827838,58.60812585848362,146.300877132166,75.47929167881148,64.16941754700414,53.312106391362384
56.7722526114077,40.41431260928839,36.760753368186954,55.28978194523254,145.69268135814485,85.95529934236801,65.55886205783784,52.252077031173926
59.40892798413514,41.06748943777067,33.61903551846953,54.51809390267733,145.69572118912592,93.67529176982026,74.25416265853858,55.83379940463
62.95454661396333,37.37959990494607,37.531682967891534,56.47968348601624,145.99746390018066,81.30078068562523,79.70295446569007,56.69988769733752
58.38469292577969,45.61271922936692,33.11434614665455,61.38831587422488,151.70439579660737,90.84693538933581,79.31032202990023,65.40148672534292
49.42899999157677,36.73724182771435,35.38676824401651,49.03131933866098,144.33785276239894,83.41989976132956,75.91186496752411,62.42373298422362
54.53585116723568,34.344466332847695,36.65071913900694,51.05574713395919,137.50830324783902,85.10047647562324,70.92356245681692,50.38423797327551
61.38524027866166,49.575361762914,38.1066194170208,56.134460091081515,139.28720382480458,89.09605495723206,73.84852134006876,54.31594204304248
63.92738831136196,48.33803154308707,34.50980461457106,47.78231088124368,143.116442328888,85.61945123182088,78.89307668425256,50.626474614552464
55.55158772986165,31.224118642939526,33.16721323577683,60.2504051737314,141.05002079244753,86.00378887920475,61.01476261370527,50.077557835307125
56.23618254961393,36.96800833297847,31.48564395406422,51.173811665520596,148.95052778311995,90.72226619780315,73.90733604734842,54.030784462527734
58.26835632747243,48.814563310667104,27.149736943510547,47.53371059670553,141.50745846126753,86.96234177883929,74.51044269127063,53.568392798840094
50.215998828322626,42.00308212828306,35.64816696889308,52.967589116720504,137.48898778634296,87.84111140894176,76.46636033236832,52.80283353106674
50.39622670194904,40.12045313021945,44.73013949176989,62.06488938935672,148.21277038150112,80.78202643029205,66.4045206578284,49.12624564275517
69.1933934108169,33.23134586962322,42.282337890727625,51.702274472436,140.08245796710344,81.35212206891764,72.16249629895383,46.75430754059074
55.40985466729849,37.53805255871557,34.045602209823834,54.49844721132137,138.59669319384446,81.0646733577318,71.9517636691609,48.544099467953295
